transaction_id,transaction_date,transaction_time,store_id,store_location,product_id,transaction_qty,unit_price,Total_Bill,product_category,product_type,product_detail,Size,Month Name,Day Name,Hour,Month,Day of Week
38,1/1/2023,9:00:24,8,Hell's Kitchen,40,2,3.75,7.5,Coffee,Barista Espresso,Cappuccino,Not Defined,January,Sunday,9,1,6
39,1/1/2023,9:07:13,8,Hell's Kitchen,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,9,1,6
40,1/1/2023,9:08:09,8,Hell's Kitchen,45,2,3,6,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,9,1,6
41,1/1/2023,9:08:13,8,Hell's Kitchen,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,9,1,6
42,1/1/2023,9:10:30,5,Lower Manhattan,60,2,3.75,7.5,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Regular,January,Sunday,9,1,6
43,1/1/2023,9:10:30,5,Lower Manhattan,78,1,4.5,4.5,Bakery,Scone,Scottish Cream Scone,Not Defined,January,Sunday,9,1,6
44,1/1/2023,9:11:06,5,Lower Manhattan,56,1,2.55,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Regular,January,Sunday,9,1,6
45,1/1/2023,9:11:06,5,Lower Manhattan,77,1,3,3,Bakery,Scone,Oatmeal Scone,Not Defined,January,Sunday,9,1,6
46,1/1/2023,9:13:01,5,Lower Manhattan,44,1,2.5,2.5,Tea,Brewed herbal tea,Peppermint,Regular,January,Sunday,9,1,6
47,1/1/2023,9:13:15,5,Lower Manhattan,56,2,2.55,5.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Regular,January,Sunday,9,1,6
48,1/1/2023,9:14:16,5,Lower Manhattan,48,1,2.5,2.5,Tea,Brewed Black tea,English Breakfast,Regular,January,Sunday,9,1,6
49,1/1/2023,9:14:17,8,Hell's Kitchen,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,9,1,6
50,1/1/2023,9:14:25,8,Hell's Kitchen,46,1,2.5,2.5,Tea,Brewed Green tea,Serenity Green Tea,Regular,January,Sunday,9,1,6
51,1/1/2023,9:14:41,8,Hell's Kitchen,32,1,3,3,Coffee,Gourmet brewed coffee,Ethiopia,Regular,January,Sunday,9,1,6
52,1/1/2023,9:15:09,5,Lower Manhattan,47,2,3,6,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,9,1,6
53,1/1/2023,9:15:13,5,Lower Manhattan,43,2,3,6,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,9,1,6
54,1/1/2023,9:19:21,5,Lower Manhattan,25,2,2.2,4.4,Coffee,Organic brewed coffee,Brazilian,Small,January,Sunday,9,1,6
55,1/1/2023,9:19:26,8,Hell's Kitchen,59,1,4.5,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Large,January,Sunday,9,1,6
56,1/1/2023,9:21:08,5,Lower Manhattan,38,1,3.75,3.75,Coffee,Barista Espresso,Latte,Not Defined,January,Sunday,9,1,6
57,1/1/2023,9:22:17,8,Hell's Kitchen,45,1,3,3,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,9,1,6
58,1/1/2023,9:22:46,5,Lower Manhattan,34,1,2.45,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Small,January,Sunday,9,1,6
59,1/1/2023,9:29:56,8,Hell's Kitchen,36,2,3.75,7.5,Coffee,Premium brewed coffee,Jamaican Coffee River,Large,January,Sunday,9,1,6
60,1/1/2023,9:29:56,8,Hell's Kitchen,74,1,3.5,3.5,Bakery,Biscotti,Ginger Biscotti,Not Defined,January,Sunday,9,1,6
61,1/1/2023,9:29:57,8,Hell's Kitchen,53,1,3,3,Tea,Brewed Chai tea,Traditional Blend Chai,Large,January,Sunday,9,1,6
62,1/1/2023,9:34:17,8,Hell's Kitchen,41,2,4.25,8.5,Coffee,Barista Espresso,Cappuccino,Large,January,Sunday,9,1,6
63,1/1/2023,9:40:13,5,Lower Manhattan,41,1,4.25,4.25,Coffee,Barista Espresso,Cappuccino,Large,January,Sunday,9,1,6
64,1/1/2023,9:41:22,5,Lower Manhattan,45,2,3,6,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,9,1,6
65,1/1/2023,9:41:22,5,Lower Manhattan,79,1,3.75,3.75,Bakery,Scone,Jumbo Savory Scone,Not Defined,January,Sunday,9,1,6
66,1/1/2023,9:44:20,5,Lower Manhattan,54,2,2.5,5,Tea,Brewed Chai tea,Morning Sunrise Chai,Regular,January,Sunday,9,1,6
67,1/1/2023,9:44:46,5,Lower Manhattan,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,9,1,6
68,1/1/2023,9:46:46,5,Lower Manhattan,37,2,3,6,Coffee,Barista Espresso,Espresso shot,Not Defined,January,Sunday,9,1,6
69,1/1/2023,9:47:40,8,Hell's Kitchen,40,2,3.75,7.5,Coffee,Barista Espresso,Cappuccino,Not Defined,January,Sunday,9,1,6
70,1/1/2023,9:50:44,5,Lower Manhattan,37,2,3,6,Coffee,Barista Espresso,Espresso shot,Not Defined,January,Sunday,9,1,6
71,1/1/2023,9:50:44,5,Lower Manhattan,69,1,3.25,3.25,Bakery,Biscotti,Hazelnut Biscotti,Not Defined,January,Sunday,9,1,6
72,1/1/2023,9:52:58,5,Lower Manhattan,50,1,2.5,2.5,Tea,Brewed Black tea,Earl Grey,Regular,January,Sunday,9,1,6
73,1/1/2023,9:53:28,8,Hell's Kitchen,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,9,1,6
74,1/1/2023,9:53:44,8,Hell's Kitchen,40,2,3.75,7.5,Coffee,Barista Espresso,Cappuccino,Not Defined,January,Sunday,9,1,6
75,1/1/2023,9:53:44,8,Hell's Kitchen,72,1,3.25,3.25,Bakery,Scone,Ginger Scone,Not Defined,January,Sunday,9,1,6
76,1/1/2023,9:53:49,8,Hell's Kitchen,35,1,3.1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Regular,January,Sunday,9,1,6
77,1/1/2023,9:54:46,5,Lower Manhattan,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,9,1,6
78,1/1/2023,9:55:16,5,Lower Manhattan,43,2,3,6,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,9,1,6
79,1/1/2023,9:56:30,8,Hell's Kitchen,22,1,2,2,Coffee,Drip coffee,Our Old Time Diner Blend,Small,January,Sunday,9,1,6
80,1/1/2023,10:00:39,8,Hell's Kitchen,32,2,3,6,Coffee,Gourmet brewed coffee,Ethiopia,Regular,January,Sunday,10,1,6
81,1/1/2023,10:03:55,8,Hell's Kitchen,36,2,3.75,7.5,Coffee,Premium brewed coffee,Jamaican Coffee River,Large,January,Sunday,10,1,6
82,1/1/2023,10:14:49,5,Lower Manhattan,26,1,3,3,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,10,1,6
83,1/1/2023,10:14:49,5,Lower Manhattan,71,1,3.75,3.75,Bakery,Pastry,Chocolate Croissant,Not Defined,January,Sunday,10,1,6
84,1/1/2023,10:16:30,5,Lower Manhattan,32,2,3,6,Coffee,Gourmet brewed coffee,Ethiopia,Regular,January,Sunday,10,1,6
85,1/1/2023,10:16:33,8,Hell's Kitchen,54,1,2.5,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Regular,January,Sunday,10,1,6
86,1/1/2023,10:18:14,8,Hell's Kitchen,41,2,4.25,8.5,Coffee,Barista Espresso,Cappuccino,Large,January,Sunday,10,1,6
87,1/1/2023,10:18:52,5,Lower Manhattan,25,2,2.2,4.4,Coffee,Organic brewed coffee,Brazilian,Small,January,Sunday,10,1,6
88,1/1/2023,10:19:42,5,Lower Manhattan,23,2,2.5,5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,10,1,6
89,1/1/2023,10:24:19,8,Hell's Kitchen,54,1,2.5,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Regular,January,Sunday,10,1,6
90,1/1/2023,10:25:22,8,Hell's Kitchen,56,2,2.55,5.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Regular,January,Sunday,10,1,6
91,1/1/2023,10:25:45,5,Lower Manhattan,58,2,3.5,7,Drinking Chocolate,Hot chocolate,Dark chocolate,Regular,January,Sunday,10,1,6
92,1/1/2023,10:25:45,5,Lower Manhattan,74,1,3.5,3.5,Bakery,Biscotti,Ginger Biscotti,Not Defined,January,Sunday,10,1,6
93,1/1/2023,10:27:48,8,Hell's Kitchen,47,2,3,6,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,10,1,6
94,1/1/2023,10:30:07,5,Lower Manhattan,35,1,3.1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Regular,January,Sunday,10,1,6
95,1/1/2023,10:30:07,5,Lower Manhattan,70,1,3.25,3.25,Bakery,Scone,Cranberry Scone,Not Defined,January,Sunday,10,1,6
96,1/1/2023,10:35:47,8,Hell's Kitchen,60,1,3.75,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Regular,January,Sunday,10,1,6
97,1/1/2023,10:41:53,5,Lower Manhattan,59,1,4.5,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Large,January,Sunday,10,1,6
98,1/1/2023,10:47:53,5,Lower Manhattan,36,2,3.75,7.5,Coffee,Premium brewed coffee,Jamaican Coffee River,Large,January,Sunday,10,1,6
99,1/1/2023,10:49:13,8,Hell's Kitchen,51,2,3,6,Tea,Brewed Black tea,Earl Grey,Large,January,Sunday,10,1,6
100,1/1/2023,10:49:51,5,Lower Manhattan,61,2,4.75,9.5,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Large,January,Sunday,10,1,6
101,1/1/2023,10:51:17,5,Lower Manhattan,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,10,1,6
102,1/1/2023,10:52:44,8,Hell's Kitchen,23,2,2.5,5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,10,1,6
103,1/1/2023,10:52:44,8,Hell's Kitchen,73,1,3.75,3.75,Bakery,Pastry,Almond Croissant,Not Defined,January,Sunday,10,1,6
104,1/1/2023,10:56:14,5,Lower Manhattan,38,1,3.75,3.75,Coffee,Barista Espresso,Latte,Not Defined,January,Sunday,10,1,6
105,1/1/2023,10:56:14,5,Lower Manhattan,76,1,3.5,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Not Defined,January,Sunday,10,1,6
106,1/1/2023,11:01:48,3,Astoria,22,1,2,2,Coffee,Drip coffee,Our Old Time Diner Blend,Small,January,Sunday,11,1,6
107,1/1/2023,11:01:58,3,Astoria,38,1,3.75,3.75,Coffee,Barista Espresso,Latte,Not Defined,January,Sunday,11,1,6
108,1/1/2023,11:01:58,3,Astoria,75,1,3.5,3.5,Bakery,Pastry,Croissant,Not Defined,January,Sunday,11,1,6
109,1/1/2023,11:03:25,5,Lower Manhattan,47,2,3,6,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,11,1,6
110,1/1/2023,11:03:25,5,Lower Manhattan,75,1,3.5,3.5,Bakery,Pastry,Croissant,Not Defined,January,Sunday,11,1,6
111,1/1/2023,11:04:32,8,Hell's Kitchen,39,2,4.25,8.5,Coffee,Barista Espresso,Latte,Regular,January,Sunday,11,1,6
112,1/1/2023,11:08:11,3,Astoria,59,1,4.5,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Large,January,Sunday,11,1,6
113,1/1/2023,11:08:59,8,Hell's Kitchen,51,2,3,6,Tea,Brewed Black tea,Earl Grey,Large,January,Sunday,11,1,6
114,1/1/2023,11:09:01,3,Astoria,59,1,4.5,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Large,January,Sunday,11,1,6
115,1/1/2023,11:10:21,3,Astoria,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,11,1,6
116,1/1/2023,11:10:21,3,Astoria,79,1,3.75,3.75,Bakery,Scone,Jumbo Savory Scone,Not Defined,January,Sunday,11,1,6
117,1/1/2023,11:10:58,3,Astoria,46,1,2.5,2.5,Tea,Brewed Green tea,Serenity Green Tea,Regular,January,Sunday,11,1,6
118,1/1/2023,11:12:29,3,Astoria,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,11,1,6
119,1/1/2023,11:16:02,3,Astoria,45,2,3,6,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,11,1,6
120,1/1/2023,11:21:00,8,Hell's Kitchen,54,2,2.5,5,Tea,Brewed Chai tea,Morning Sunrise Chai,Regular,January,Sunday,11,1,6
121,1/1/2023,11:21:04,5,Lower Manhattan,51,2,3,6,Tea,Brewed Black tea,Earl Grey,Large,January,Sunday,11,1,6
122,1/1/2023,11:21:14,3,Astoria,60,1,3.75,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Regular,January,Sunday,11,1,6
123,1/1/2023,11:23:01,8,Hell's Kitchen,31,1,2.2,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Small,January,Sunday,11,1,6
124,1/1/2023,11:23:43,5,Lower Manhattan,60,2,3.75,7.5,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Regular,January,Sunday,11,1,6
125,1/1/2023,11:23:43,5,Lower Manhattan,77,1,3,3,Bakery,Scone,Oatmeal Scone,Not Defined,January,Sunday,11,1,6
126,1/1/2023,11:25:35,3,Astoria,49,2,3,6,Tea,Brewed Black tea,English Breakfast,Large,January,Sunday,11,1,6
127,1/1/2023,11:25:37,5,Lower Manhattan,40,2,3.75,7.5,Coffee,Barista Espresso,Cappuccino,Not Defined,January,Sunday,11,1,6
128,1/1/2023,11:28:15,8,Hell's Kitchen,44,2,2.5,5,Tea,Brewed herbal tea,Peppermint,Regular,January,Sunday,11,1,6
129,1/1/2023,11:28:29,3,Astoria,33,2,3.5,7,Coffee,Gourmet brewed coffee,Ethiopia,Large,January,Sunday,11,1,6
130,1/1/2023,11:29:25,5,Lower Manhattan,56,2,2.55,5.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Regular,January,Sunday,11,1,6
131,1/1/2023,11:29:57,8,Hell's Kitchen,35,2,3.1,6.2,Coffee,Premium brewed coffee,Jamaican Coffee River,Regular,January,Sunday,11,1,6
132,1/1/2023,11:29:57,8,Hell's Kitchen,78,1,4.5,4.5,Bakery,Scone,Scottish Cream Scone,Not Defined,January,Sunday,11,1,6
133,1/1/2023,11:30:22,8,Hell's Kitchen,23,1,2.5,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Regular,January,Sunday,11,1,6
134,1/1/2023,11:31:35,8,Hell's Kitchen,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,11,1,6
135,1/1/2023,11:31:43,5,Lower Manhattan,51,2,3,6,Tea,Brewed Black tea,Earl Grey,Large,January,Sunday,11,1,6
136,1/1/2023,11:31:43,5,Lower Manhattan,72,1,3.25,3.25,Bakery,Scone,Ginger Scone,Not Defined,January,Sunday,11,1,6
137,1/1/2023,11:31:53,5,Lower Manhattan,54,2,2.5,5,Tea,Brewed Chai tea,Morning Sunrise Chai,Regular,January,Sunday,11,1,6
138,1/1/2023,11:31:53,5,Lower Manhattan,75,1,3.5,3.5,Bakery,Pastry,Croissant,Not Defined,January,Sunday,11,1,6
139,1/1/2023,11:39:14,5,Lower Manhattan,60,1,3.75,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Regular,January,Sunday,11,1,6
140,1/1/2023,11:39:14,5,Lower Manhattan,71,1,3.75,3.75,Bakery,Pastry,Chocolate Croissant,Not Defined,January,Sunday,11,1,6
141,1/1/2023,11:40:26,3,Astoria,52,2,2.5,5,Tea,Brewed Chai tea,Traditional Blend Chai,Regular,January,Sunday,11,1,6
142,1/1/2023,11:43:57,3,Astoria,25,2,2.2,4.4,Coffee,Organic brewed coffee,Brazilian,Small,January,Sunday,11,1,6
143,1/1/2023,11:44:09,5,Lower Manhattan,38,1,3.75,3.75,Coffee,Barista Espresso,Latte,Not Defined,January,Sunday,11,1,6
144,1/1/2023,11:47:13,3,Astoria,30,1,3,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Large,January,Sunday,11,1,6
145,1/1/2023,11:48:56,8,Hell's Kitchen,50,2,2.5,5,Tea,Brewed Black tea,Earl Grey,Regular,January,Sunday,11,1,6
146,1/1/2023,11:49:42,8,Hell's Kitchen,54,1,2.5,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Regular,January,Sunday,11,1,6
147,1/1/2023,11:49:42,8,Hell's Kitchen,72,1,3.25,3.25,Bakery,Scone,Ginger Scone,Not Defined,January,Sunday,11,1,6
148,1/1/2023,11:50:16,3,Astoria,26,2,3,6,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,11,1,6
149,1/1/2023,11:50:23,3,Astoria,36,2,3.75,7.5,Coffee,Premium brewed coffee,Jamaican Coffee River,Large,January,Sunday,11,1,6
150,1/1/2023,11:50:58,5,Lower Manhattan,45,2,3,6,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,11,1,6
151,1/1/2023,11:51:30,8,Hell's Kitchen,33,2,3.5,7,Coffee,Gourmet brewed coffee,Ethiopia,Large,January,Sunday,11,1,6
152,1/1/2023,11:52:31,5,Lower Manhattan,57,1,3.1,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Large,January,Sunday,11,1,6
153,1/1/2023,11:57:17,3,Astoria,37,2,3,6,Coffee,Barista Espresso,Espresso shot,Not Defined,January,Sunday,11,1,6
154,1/1/2023,11:57:59,3,Astoria,50,1,2.5,2.5,Tea,Brewed Black tea,Earl Grey,Regular,January,Sunday,11,1,6
155,1/1/2023,11:57:59,3,Astoria,79,1,3.75,3.75,Bakery,Scone,Jumbo Savory Scone,Not Defined,January,Sunday,11,1,6
156,1/1/2023,11:58:15,3,Astoria,60,2,3.75,7.5,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Regular,January,Sunday,11,1,6
157,1/1/2023,12:00:20,5,Lower Manhattan,29,1,2.5,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Regular,January,Sunday,12,1,6
158,1/1/2023,12:01:00,3,Astoria,49,2,3,6,Tea,Brewed Black tea,English Breakfast,Large,January,Sunday,12,1,6
159,1/1/2023,12:01:20,3,Astoria,35,2,3.1,6.2,Coffee,Premium brewed coffee,Jamaican Coffee River,Regular,January,Sunday,12,1,6
160,1/1/2023,12:01:20,3,Astoria,75,1,3.5,3.5,Bakery,Pastry,Croissant,Not Defined,January,Sunday,12,1,6
161,1/1/2023,12:03:09,8,Hell's Kitchen,36,1,3.75,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River,Large,January,Sunday,12,1,6
162,1/1/2023,12:03:38,8,Hell's Kitchen,47,1,3,3,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,12,1,6
163,1/1/2023,12:03:43,3,Astoria,44,1,2.5,2.5,Tea,Brewed herbal tea,Peppermint,Regular,January,Sunday,12,1,6
164,1/1/2023,12:04:22,8,Hell's Kitchen,27,2,3.5,7,Coffee,Organic brewed coffee,Brazilian,Large,January,Sunday,12,1,6
165,1/1/2023,12:05:31,3,Astoria,52,2,2.5,5,Tea,Brewed Chai tea,Traditional Blend Chai,Regular,January,Sunday,12,1,6
166,1/1/2023,12:06:29,5,Lower Manhattan,46,1,2.5,2.5,Tea,Brewed Green tea,Serenity Green Tea,Regular,January,Sunday,12,1,6
167,1/1/2023,12:07:42,8,Hell's Kitchen,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,12,1,6
168,1/1/2023,12:08:21,5,Lower Manhattan,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,12,1,6
169,1/1/2023,12:08:36,8,Hell's Kitchen,35,1,3.1,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Regular,January,Sunday,12,1,6
170,1/1/2023,12:09:11,3,Astoria,28,2,2,4,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Small,January,Sunday,12,1,6
171,1/1/2023,12:09:12,8,Hell's Kitchen,50,2,2.5,5,Tea,Brewed Black tea,Earl Grey,Regular,January,Sunday,12,1,6
172,1/1/2023,12:13:07,5,Lower Manhattan,38,2,3.75,7.5,Coffee,Barista Espresso,Latte,Not Defined,January,Sunday,12,1,6
173,1/1/2023,12:14:26,8,Hell's Kitchen,35,2,3.1,6.2,Coffee,Premium brewed coffee,Jamaican Coffee River,Regular,January,Sunday,12,1,6
174,1/1/2023,12:17:38,8,Hell's Kitchen,50,2,2.5,5,Tea,Brewed Black tea,Earl Grey,Regular,January,Sunday,12,1,6
175,1/1/2023,12:18:07,5,Lower Manhattan,25,2,2.2,4.4,Coffee,Organic brewed coffee,Brazilian,Small,January,Sunday,12,1,6
176,1/1/2023,12:18:44,3,Astoria,49,2,3,6,Tea,Brewed Black tea,English Breakfast,Large,January,Sunday,12,1,6
177,1/1/2023,12:20:16,3,Astoria,60,2,3.75,7.5,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Regular,January,Sunday,12,1,6
178,1/1/2023,12:23:39,3,Astoria,24,1,3,3,Coffee,Drip coffee,Our Old Time Diner Blend,Large,January,Sunday,12,1,6
179,1/1/2023,12:27:06,5,Lower Manhattan,41,2,4.25,8.5,Coffee,Barista Espresso,Cappuccino,Large,January,Sunday,12,1,6
180,1/1/2023,12:30:46,3,Astoria,44,2,2.5,5,Tea,Brewed herbal tea,Peppermint,Regular,January,Sunday,12,1,6
181,1/1/2023,12:30:49,8,Hell's Kitchen,38,1,3.75,3.75,Coffee,Barista Espresso,Latte,Not Defined,January,Sunday,12,1,6
